time,yaw,qx,qz,roll,qw,qy,pitch
1610458199609861000,-1.7561239400736168,-0.3712023347374369,-0.6577858492152759,-1.6157953888699448,0.22386111464013358,-0.6159650019543569,0.6999122723776056
1610458199619874000,-1.7579670000128902,-0.3725211450788363,-0.6576916686165251,-1.6155558618864867,0.22425343618615984,-0.6151260315678422,0.6971669107031964
1610458199629888000,-1.7593362925332598,-0.37388784382371965,-0.6574293262312407,-1.6159943777173174,0.22456250952698623,-0.6144642243097297,0.6945128640328692
1610458199639902200,-1.7601871494118273,-0.37513659892811557,-0.6570627296115674,-1.6169789463117006,0.22472170398844835,-0.6140368562725408,0.6923122521320438
1610458199649916200,-1.7608165477012512,-0.37612779913090355,-0.6567436544121464,-1.6180746466867217,0.22466829783837702,-0.6137913109585352,0.6908585650530015
1610458199659929000,-1.7616521325882395,-0.37685579517622725,-0.6565880801249367,-1.6190912192925062,0.22423639893744882,-0.6136692399411389,0.6904007958776136
1610458199669943000,-1.7629582873852423,-0.3775157802801321,-0.656566339195535,-1.6202572697148756,0.22331132922912544,-0.6136241227845566,0.6908114322388177
1610458199679957200,-1.7646931201168237,-0.3779295994356575,-0.6567718200264547,-1.620994781486303,0.22211101039736894,-0.6135850611379233,0.6920100058157982
1610458199689971000,-1.7666916761488558,-0.3780051379626963,-0.6572121944547401,-1.6211126730879055,0.22077168865709976,-0.6135503893818597,0.6939256743908265
1610458199699984100,-1.7688351339602602,-0.3777655589643536,-0.6578396489827443,-1.6207638414319703,0.2192954094615531,-0.6135549129499916,0.6965263231311277
1610458199709998000,-1.770926198565193,-0.3772914828627518,-0.6585525076669644,-1.6203186088231196,0.2176553350050999,-0.6136658773813225,0.6997460001321214
1610458199720012300,-1.7727049352459148,-0.37658573560155534,-0.6592746672941149,-1.620008995254122,0.21587290610069293,-0.6139535594429257,0.7035630235569674
1610458199730026000,-1.7741359270062456,-0.3756298749059018,-0.6600051629323703,-1.619821465660666,0.21396037505108753,-0.6144235238622406,0.7079866171976348
1610458199740039200,-1.7752622340008424,-0.3745084824971437,-0.6607125180959118,-1.6198760916252206,0.21190302700658156,-0.615060515147642,0.7129094186837528
1610458199750053000,-1.7761186167866603,-0.37336657693419895,-0.6613377610383123,-1.6203338418059816,0.20973084504330017,-0.6158268321712672,0.718061556835198
1610458199760067000,-1.776682816697127,-0.3722917461415737,-0.6618374957532616,-1.6212800159336198,0.2074990467206166,-0.6166960561785699,0.723223625845778
1610458199770080000,-1.7767834542408343,-0.37128839403077674,-0.6621701205415842,-1.6227743433953112,0.2052880019388302,-0.6176831454424053,0.7282714131174735
1610458199780094200,-1.7762756403090088,-0.37026413726264323,-0.6623573866624872,-1.6245407380912735,0.20327991600537373,-0.6187603830875528,0.7330596665601062
1610458199790108000,-1.7751618837922096,-0.36923252747323365,-0.6624018502506783,-1.6264919900854289,0.20154845039338254,-0.6198945544656271,0.7374493050606906
1610458199800122000,-1.7735466142942413,-0.368258508043686,-0.6622936003292657,-1.6288025643478334,0.19997763000065108,-0.6210972504654817,0.7415212699711712
1610458199810135000,-1.7717669127869773,-0.3673923931548082,-0.6620904789927428,-1.6314404392622108,0.19841628597998204,-0.6223262381341785,0.745418364637051
1610458199820149200,-1.7700013975305746,-0.3666527911590727,-0.661828341392206,-1.6343483423627954,0.19680304162988418,-0.623552375228166,0.7491990558024376
1610458199830163000,-1.7682750619866807,-0.3659581591053031,-0.6615606687590586,-1.6372310503147898,0.19523052693918513,-0.6247377493662363,0.7528364828471659
1610458199840177200,-1.7665572692407936,-0.3652725213957505,-0.661298471100277,-1.640017597647781,0.19372740227667148,-0.6258833688255075,0.7563412365612305
1610458199850190000,-1.7649441283628746,-0.36459551395158446,-0.6610655929592069,-1.6426562088630527,0.19226397741184437,-0.6269745034594888,0.7597571198066102
